customer_id,region,contract_type,monthly_price,tenure_months,signup_date,active
C00001,Zaragoza,fibra_300,31.95,72,2019-11-07,1
C00002,Valencia,fibra_600,39.95,6,2025-04-22,0
C00003,Madrid,fibra_1000,51.95,55,2021-04-08,1
C00004,Zaragoza,movil_solo,14.95,15,2024-07-27,0
C00005,Valencia,fibra_300,31.95,59,2020-12-01,1
C00006,Valencia,fibra_600,39.95,14,2024-08-31,1
C00007,Sevilla,convergente,57.95,51,2021-07-28,1
C00008,Valencia,fibra_300,29.95,22,2024-01-09,1
C00009,Madrid,convergente,61.95,25,2023-09-15,1
C00010,Valencia,fibra_300,29.95,14,2024-09-03,1
C00011,Barcelona,convergente,59.95,84,2018-12-06,1
C00012,Zaragoza,movil_solo,14.95,73,2019-10-10,1
C00013,Zaragoza,convergente,64.95,82,2019-01-18,1
C00014,Zaragoza,fibra_1000,49.95,57,2021-02-23,1
C00015,Zaragoza,fibra_1000,49.95,76,2019-08-04,1
C00016,Madrid,fibra_1000,49.95,58,2021-01-25,0
C00017,Valencia,fibra_600,44.95,12,2024-10-18,1
C00018,Sevilla,movil_solo,16.95,71,2019-12-08,1
C00019,Madrid,movil_solo,16.95,84,2018-12-02,1
C00020,Sevilla,convergente,59.95,8,2025-02-20,1
C00021,Valencia,fibra_600,41.95,83,2019-01-02,0
C00022,Zaragoza,movil_solo,14.95,68,2020-03-16,1
C00023,Valencia,fibra_1000,49.95,50,2021-09-10,1
C00024,Zaragoza,convergente,57.95,81,2019-02-16,1
C00025,Valencia,fibra_600,41.95,50,2021-09-14,1
C00026,Zaragoza,convergente,59.95,43,2022-04-19,1
C00027,Barcelona,fibra_1000,49.95,84,2018-11-16,1
C00028,Barcelona,convergente,64.95,11,2024-11-27,1
C00029,Zaragoza,fibra_1000,49.95,68,2020-03-30,1
C00030,Sevilla,convergente,59.95,3,2025-07-23,1
C00031,Barcelona,fibra_1000,49.95,25,2023-10-06,1
C00032,Barcelona,fibra_600,39.95,13,2024-09-21,1
C00033,Zaragoza,convergente,57.95,44,2022-02-22,1
C00034,Barcelona,convergente,59.95,20,2024-03-06,1
C00035,Zaragoza,convergente,59.95,57,2021-02-24,1
C00036,Zaragoza,fibra_300,29.95,79,2019-04-28,1
C00037,Sevilla,fibra_300,31.95,31,2023-04-07,1
C00038,Sevilla,fibra_300,29.95,74,2019-09-20,1
C00039,Valencia,movil_solo,16.95,68,2020-03-19,1
C00040,Barcelona,convergente,59.95,33,2023-02-14,1
C00041,Valencia,convergente,57.95,67,2020-04-04,1
C00042,Madrid,fibra_300,29.95,58,2020-12-29,1
C00043,Sevilla,fibra_600,39.95,58,2020-12-29,1
C00044,Madrid,movil_solo,12.95,51,2021-08-08,1
C00045,Sevilla,fibra_600,39.95,29,2023-06-15,1
C00046,Madrid,fibra_1000,49.95,18,2024-05-09,1
C00047,Sevilla,fibra_300,34.95,61,2020-10-14,1
C00048,Madrid,fibra_600,39.95,28,2023-06-19,1
C00049,Zaragoza,convergente,61.95,55,2021-04-23,1
C00050,Barcelona,fibra_1000,47.95,7,2025-03-29,1
C00051,Bilbao,movil_solo,12.95,15,2024-07-13,1
C00052,Bilbao,convergente,57.95,81,2019-02-20,1
C00053,Zaragoza,fibra_300,29.95,55,2021-04-26,1
C00054,Barcelona,convergente,59.95,24,2023-10-22,1
C00055,Bilbao,fibra_1000,47.95,68,2020-03-15,1
C00056,Bilbao,convergente,57.95,50,2021-08-27,1
C00057,Zaragoza,movil_solo,14.95,33,2023-01-23,0
C00058,Madrid,fibra_1000,49.95,81,2019-03-05,1
C00059,Zaragoza,fibra_1000,49.95,6,2025-04-24,1
C00060,Zaragoza,fibra_300,34.95,60,2020-11-05,1
C00061,Barcelona,fibra_300,27.95,59,2020-12-26,1
C00062,Madrid,fibra_300,27.95,41,2022-05-22,1
C00063,Sevilla,convergente,59.95,33,2023-02-14,1
C00064,Barcelona,fibra_1000,49.95,7,2025-03-09,1
C00065,Valencia,fibra_600,39.95,56,2021-02-27,1
C00066,Sevilla,movil_solo,14.95,24,2023-10-28,1
C00067,Valencia,convergente,59.95,11,2024-11-13,1
C00068,Sevilla,convergente,59.95,70,2020-01-23,1
C00069,Madrid,fibra_1000,54.95,38,2022-09-09,1
C00070,Zaragoza,movil_solo,14.95,57,2021-02-14,1
C00071,Zaragoza,fibra_1000,51.95,56,2021-03-19,1
C00072,Madrid,fibra_600,44.95,82,2019-01-25,1
C00073,Zaragoza,fibra_300,27.95,19,2024-03-14,1
C00074,Sevilla,fibra_600,39.95,9,2025-01-28,1
C00075,Valencia,fibra_1000,49.95,73,2019-11-02,1
C00076,Zaragoza,movil_solo,14.95,48,2021-11-08,1
C00077,Bilbao,fibra_300,31.95,47,2021-12-10,1
C00078,Valencia,fibra_300,27.95,4,2025-06-11,1
C00079,Bilbao,movil_solo,16.95,16,2024-07-01,1
C00080,Zaragoza,movil_solo,14.95,79,2019-04-28,1
C00081,Sevilla,fibra_300,27.95,18,2024-04-13,1
C00082,Barcelona,movil_solo,12.95,41,2022-05-30,1
C00083,Madrid,convergente,61.95,38,2022-08-21,1
C00084,Barcelona,fibra_300,29.95,66,2020-05-24,1
C00085,Barcelona,fibra_300,29.95,64,2020-07-30,1
C00086,Bilbao,fibra_1000,49.95,71,2019-12-29,1
C00087,Madrid,fibra_600,39.95,51,2021-08-02,1
C00088,Bilbao,movil_solo,14.95,74,2019-10-02,1
C00089,Valencia,fibra_600,39.95,60,2020-11-06,1
C00090,Barcelona,convergente,64.95,76,2019-07-31,1
C00091,Barcelona,movil_solo,16.95,8,2025-02-08,1
C00092,Barcelona,fibra_1000,49.95,21,2024-01-31,1
C00093,Barcelona,fibra_1000,51.95,37,2022-09-21,1
C00094,Barcelona,convergente,59.95,17,2024-05-20,1
C00095,Bilbao,fibra_600,41.95,83,2019-01-02,1
C00096,Bilbao,fibra_300,29.95,80,2019-03-15,1
C00097,Valencia,convergente,57.95,4,2025-07-02,0
C00098,Zaragoza,convergente,59.95,84,2018-12-02,1
C00099,Sevilla,convergente,64.95,4,2025-06-19,1
C00100,Bilbao,fibra_1000,54.95,39,2022-08-04,1
C00101,Zaragoza,movil_solo,14.95,59,2020-12-25,1
C00102,Barcelona,movil_solo,14.95,62,2020-09-14,1
C00103,Bilbao,fibra_300,29.95,41,2022-05-28,1
C00104,Valencia,movil_solo,14.95,48,2021-11-06,1
C00105,Valencia,fibra_300,29.95,16,2024-07-01,1
C00106,Barcelona,fibra_600,37.95,38,2022-09-06,1
C00107,Sevilla,fibra_300,29.95,42,2022-04-22,1
C00108,Valencia,fibra_300,29.95,64,2020-07-14,1
C00109,Valencia,movil_solo,12.95,12,2024-10-25,1
C00110,Barcelona,fibra_300,31.95,46,2022-01-20,0
C00111,Sevilla,convergente,64.95,61,2020-10-19,1
C00112,Madrid,movil_solo,14.95,34,2022-12-24,1
C00113,Sevilla,fibra_1000,47.95,52,2021-07-24,1
C00114,Barcelona,fibra_1000,51.95,37,2022-10-16,1
C00115,Sevilla,convergente,59.95,80,2019-03-17,1
C00116,Barcelona,fibra_600,39.95,48,2021-10-28,1
C00117,Bilbao,fibra_1000,49.95,26,2023-08-25,1
C00118,Bilbao,fibra_600,37.95,5,2025-05-31,1
C00119,Sevilla,convergente,59.95,20,2024-02-21,1
C00120,Barcelona,fibra_1000,51.95,41,2022-06-15,1
C00121,Bilbao,fibra_1000,51.95,44,2022-03-06,1
C00122,Bilbao,movil_solo,19.95,73,2019-10-25,1
C00123,Madrid,fibra_1000,49.95,15,2024-07-26,1
C00124,Zaragoza,fibra_600,41.95,61,2020-10-20,1
C00125,Bilbao,convergente,59.95,7,2025-03-18,1
C00126,Bilbao,convergente,59.95,19,2024-03-15,1
C00127,Madrid,convergente,64.95,15,2024-08-02,0
C00128,Valencia,movil_solo,14.95,53,2021-06-03,1
C00129,Bilbao,convergente,59.95,8,2025-02-12,1
C00130,Barcelona,convergente,59.95,62,2020-09-12,1
C00131,Barcelona,movil_solo,16.95,44,2022-03-05,1
C00132,Zaragoza,fibra_1000,51.95,62,2020-09-22,1
C00133,Valencia,convergente,59.95,29,2023-06-06,1
C00134,Zaragoza,fibra_300,34.95,63,2020-08-19,1
C00135,Bilbao,fibra_1000,49.95,16,2024-06-21,1
C00136,Sevilla,movil_solo,14.95,19,2024-04-01,0
C00137,Zaragoza,fibra_600,39.95,57,2021-02-05,1
C00138,Sevilla,fibra_300,29.95,69,2020-02-23,1
C00139,Zaragoza,fibra_1000,49.95,14,2024-08-19,1
C00140,Barcelona,fibra_300,27.95,68,2020-03-25,1
C00141,Madrid,fibra_600,39.95,43,2022-03-30,1
C00142,Zaragoza,fibra_300,27.95,71,2019-12-04,1
C00143,Zaragoza,movil_solo,14.95,84,2018-12-02,1
C00144,Valencia,fibra_1000,49.95,83,2019-01-06,1
C00145,Madrid,convergente,59.95,69,2020-02-08,1
C00146,Madrid,fibra_300,29.95,23,2023-11-13,1
C00147,Sevilla,movil_solo,14.95,38,2022-08-21,0
C00148,Valencia,convergente,61.95,14,2024-08-09,1
C00149,Valencia,movil_solo,19.95,70,2020-01-16,1
C00150,Barcelona,convergente,59.95,35,2022-12-11,1
C00151,Valencia,fibra_300,34.95,59,2020-12-07,1
C00152,Barcelona,fibra_600,44.95,44,2022-02-25,1
C00153,Zaragoza,fibra_300,29.95,79,2019-04-10,1
C00154,Sevilla,movil_solo,16.95,42,2022-05-19,1
C00155,Madrid,fibra_300,29.95,62,2020-09-18,1
C00156,Madrid,fibra_1000,49.95,31,2023-04-02,1
C00157,Valencia,fibra_1000,51.95,74,2019-10-04,1
C00158,Valencia,fibra_300,27.95,16,2024-06-25,1
C00159,Sevilla,convergente,64.95,40,2022-06-28,1
C00160,Valencia,fibra_1000,51.95,29,2023-06-08,1
C00161,Sevilla,fibra_300,29.95,78,2019-05-26,1
C00162,Bilbao,movil_solo,16.95,28,2023-06-21,1
C00163,Bilbao,fibra_600,41.95,58,2021-01-10,1
C00164,Madrid,convergente,57.95,8,2025-02-08,1
C00165,Bilbao,fibra_300,31.95,69,2020-02-27,1
C00166,Bilbao,movil_solo,12.95,27,2023-07-23,1
C00167,Madrid,convergente,59.95,8,2025-02-20,1
C00168,Sevilla,movil_solo,16.95,8,2025-02-17,1
C00169,Valencia,fibra_600,39.95,33,2023-01-20,0
C00170,Barcelona,convergente,57.95,6,2025-04-22,1
C00171,Madrid,convergente,57.95,9,2025-01-06,1
C00172,Valencia,movil_solo,14.95,18,2024-04-16,1
C00173,Zaragoza,movil_solo,14.95,49,2021-10-09,1
C00174,Sevilla,movil_solo,12.95,70,2020-01-28,1
C00175,Valencia,fibra_600,39.95,69,2020-02-19,1
C00176,Zaragoza,fibra_300,27.95,3,2025-07-25,1
