customer_id,region,contract_type,monthly_price,customer_tenure_months,avg_download_speed,expected_download_speed,service_interruptions_30d,interruption_minutes_30d,num_tickets_30d,num_complaints_30d,call_center_contacts_30d,avg_resolution_hours,satisfaction_score,last_ticket_text,churn,high_priority_ticket,network_anomaly
C00001,Valencia,fibra_1000,49.95,84,588.4,1000,7,471.7,3,1,2,22.3,6.3,"Intermitencias por la noche, molesto pero usable.",1,0,0
C00002,Valencia,movil_solo,16.95,18,81.6,100,8,214.6,5,2,5,31.5,4.4,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
C00003,Bilbao,fibra_1000,51.95,71,783.8,1000,9,602.6,5,1,3,25.3,4.7,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,0,0
C00004,Barcelona,convergente,59.95,25,509.0,600,5,80.7,3,1,2,10.5,7.4,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00005,Zaragoza,fibra_1000,49.95,53,705.1,1000,7,243.6,4,2,4,45.6,4.5,Tardaron en resolver pero al final lo arreglaron.,1,0,0
C00006,Bilbao,convergente,57.95,46,463.0,600,11,587.8,4,1,5,57.2,2.5,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
C00007,Madrid,movil_solo,14.95,83,59.2,100,16,245.3,7,2,6,34.2,2.3,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,1
C00008,Bilbao,convergente,61.95,29,485.2,600,6,181.2,2,0,2,28.9,6.3,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00009,Barcelona,convergente,59.95,55,377.3,600,5,194.0,2,1,2,17.6,6.0,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00010,Bilbao,movil_solo,14.95,19,89.2,100,6,87.1,4,1,3,13.7,5.8,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00011,Sevilla,fibra_600,39.95,69,348.3,600,7,134.2,5,2,6,52.6,4.1,"Intermitencias por la noche, molesto pero usable.",1,1,0
C00012,Barcelona,fibra_600,39.95,31,461.0,600,5,416.2,3,1,3,43.5,4.6,Tardaron en resolver pero al final lo arreglaron.,1,0,0
C00013,Sevilla,fibra_1000,49.95,70,581.4,1000,7,53.1,4,1,4,54.2,4.6,"Router se reinicia a veces, consultar si es normal.",0,0,1
C00014,Zaragoza,fibra_1000,47.95,15,474.1,1000,7,276.4,3,1,2,14.6,6.2,"Subida de cuota inesperada, quiero aclaracion.",0,0,1
C00015,Valencia,movil_solo,14.95,62,66.1,100,8,691.5,4,2,4,26.2,5.5,"Cuarta averia este mes, el tecnico no resuelve nada.",1,0,0
C00016,Bilbao,fibra_300,29.95,11,270.3,300,9,425.2,5,2,3,46.2,3.5,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,0
C00017,Bilbao,fibra_300,27.95,65,211.6,300,6,41.0,2,0,2,39.4,6.2,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00018,Barcelona,convergente,57.95,13,421.0,600,3,52.8,2,0,1,14.4,7.2,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00019,Bilbao,fibra_600,37.95,70,478.1,600,3,212.6,3,1,4,22.8,6.6,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00020,Madrid,fibra_300,29.95,49,243.3,300,3,210.3,3,1,4,11.3,7.1,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00021,Barcelona,fibra_600,39.95,69,409.3,600,3,68.0,4,1,2,30.4,5.7,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00022,Valencia,fibra_300,27.95,21,233.3,300,14,128.6,6,2,7,60.2,2.0,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
